"season","team","matches","match1","match2","match3","match4","match5","match6","match7","match8","match9","match10","match11","match12","match13","match14","match15","match16","match17","match18","match19","match20","match21","match22","match23","match24","match25","match26","match27","match28","match29","match30","match31","match32","match33","match34"
"2018/19","FC Nurnberg",34,"L","D","D","W","L","W","L","L","D","D","L","L","D","L","L","L","L","L","L","D","L","D","L","L","L","L","W","D","D","L","D","L","L","L"
"2018/19","Fortuna Dusseldorf",34,"L","D","W","D","L","L","L","L","L","L","W","D","L","L","W","W","W","W","L","D","W","L","W","W","L","L","W","W","L","L","W","D","L","W"
"2018/19","Hannover 96",34,"D","D","L","L","L","L","W","D","L","L","W","L","L","D","L","D","L","L","L","L","W","L","L","L","L","L","L","L","L","D","W","L","W","L"
"2018/19","Hertha BSC",34,"W","W","D","W","L","W","D","D","D","L","L","D","W","W","L","D","L","W","D","L","W","D","L","W","L","L","L","L","L","D","D","W","W","L"
"2018/19","Hoffenheim",34,"L","W","L","D","W","L","L","W","W","W","W","D","D","D","D","D","D","L","W","D","D","W","D","L","W","D","W","W","W","W","L","D","L","L"
"2018/19","Mainz 05",34,"W","D","W","L","D","L","D","L","L","W","W","L","W","D","L","D","D","W","W","L","L","L","W","L","L","L","L","W","L","W","L","D","W","W"
"2018/19","RB Leipzig",34,"L","D","W","D","W","W","W","D","D","W","W","L","W","L","W","L","W","L","W","W","D","W","D","W","D","W","W","W","W","W","W","D","D","L"
"2018/19","SC Freiburg",34,"L","L","D","W","W","L","D","D","W","D","L","D","L","W","L","D","W","L","L","D","D","D","W","L","W","D","D","L","L","L","L","D","L","W"
"2018/19","Schalke 04",34,"L","L","L","L","L","W","W","L","D","W","L","W","D","L","D","L","W","W","D","L","L","D","L","L","L","L","W","L","D","L","W","D","D","D"
"2018/19","VfB Stuttgart",34,"L","L","D","D","L","W","L","L","L","L","W","L","W","L","W","L","L","L","L","D","L","L","D","W","L","D","L","D","L","L","W","L","W","D"
"2018/19","VfL Wolfsburg",34,"W","W","D","L","D","D","L","L","W","L","L","W","W","D","W","W","W","L","L","W","D","W","W","D","L","W","L","W","L","D","W","W","L","W"
