"season","team","matches","match1","match2","match3","match4","match5","match6","match7","match8","match9","match10","match11","match12","match13","match14","match15","match16","match17","match18","match19","match20","match21","match22","match23","match24","match25","match26","match27","match28","match29","match30","match31","match32","match33","match34"
2016,"Seattle Sounders FC",34,"L","L","L","W","D","W","L","W","W","L","L","L","W","L","L","D","L","W","L","L","D","W","W","W","D","L","D","W","W","W","W","D","L","W"
2016,"Sporting Kansas City",34,"W","W","W","L","W","L","L","L","D","D","L","L","W","L","L","D","W","D","W","W","L","L","W","W","L","D","W","L","D","D","W","L","D","W"
2016,"Toronto FC",34,"W","D","L","L","D","W","W","L","W","L","D","D","L","W","L","D","W","D","L","W","W","W","W","D","W","W","L","W","D","D","D","L","D","W"
2016,"Vancouver Whitecaps FC",34,"L","L","W","W","D","L","L","W","D","L","W","W","W","L","D","L","W","L","D","W","D","D","L","L","L","L","D","L","W","L","D","L","D","W"
2017,"Atlanta United FC",34,"L","W","W","D","D","L","W","L","L","D","W","W","L","L","W","L","W","W","W","W","D","D","L","D","W","W","D","W","W","W","D","L","D","D"
2017,"Chicago Fire",34,"D","W","L","D","W","W","L","L","D","W","W","W","W","D","W","W","W","W","D","L","L","W","L","L","L","L","W","D","W","L","W","D","W","L"
2017,"Colorado Rapids",34,"W","L","D","L","L","L","L","L","W","L","L","W","W","W","L","L","W","L","D","L","D","D","L","L","L","L","W","D","L","L","W","D","W","L"
2017,"Columbus Crew SC",34,"D","L","W","W","W","L","W","L","L","W","L","W","L","L","W","L","L","W","L","W","W","L","D","L","W","D","W","W","D","D","W","W","W","D"
2017,"D.C. United",34,"D","L","L","W","W","L","D","W","L","L","L","W","L","D","L","W","L","L","L","L","L","L","D","L","W","W","W","L","L","W","D","L","L","L"
2017,"FC Dallas",34,"W","D","W","W","D","W","D","W","D","L","L","D","W","L","D","D","W","W","W","L","L","D","L","D","L","D","L","D","L","W","D","D","L","W"
2017,"Houston Dynamo",34,"W","W","L","W","L","D","W","L","W","W","L","L","D","W","L","D","D","L","W","D","W","D","D","W","L","D","L","L","D","D","W","W","D","W"
2017,"LA Galaxy",34,"L","L","W","L","W","L","L","D","D","W","W","W","D","D","W","L","L","L","L","L","D","L","L","L","L","W","D","L","L","L","D","D","W","L"
2017,"Minnesota United FC",34,"L","L","D","L","W","L","D","W","L","W","L","L","W","L","L","W","D","L","L","D","L","W","L","L","W","D","L","W","W","L","W","D","L","L"
2017,"Montreal Impact",34,"L","D","D","D","L","W","D","L","W","L","W","W","D","D","L","W","L","W","L","L","W","W","W","W","L","L","L","L","W","L","L","L","L","L"
2017,"New England Revolution",34,"L","L","W","D","W","L","D","D","D","L","W","W","L","D","W","L","L","L","L","W","W","L","W","L","L","W","W","L","L","W","L","D","W","W"
2017,"New York City FC",34,"L","W","D","W","L","W","L","W","W","D","L","W","L","D","W","W","W","W","L","D","W","L","W","W","W","D","W","L","D","D","W","D","L","D"
2017,"New York Red Bulls",34,"W","W","L","D","L","L","W","W","W","L","L","L","D","W","L","W","L","W","W","W","W","L","W","L","D","D","D","D","L","D","L","W","D","W"
2017,"Orlando City SC",34,"W","W","L","W","W","W","W","L","L","D","D","L","L","W","D","D","D","L","W","L","L","D","L","L","D","L","L","W","D","L","W","D","L","L"
2017,"Philadelphia Union",34,"D","D","L","L","L","L","D","D","W","W","W","W","L","L","L","W","W","D","L","L","W","L","W","L","D","L","D","D","D","W","L","W","L","W"
2017,"Portland Timbers",34,"W","W","W","L","D","W","L","W","D","L","D","L","L","W","W","L","L","D","D","D","L","W","D","W","L","W","W","D","W","L","W","L","W","W"
2017,"Real Salt Lake",34,"D","L","L","D","L","W","W","L","L","L","L","W","L","W","L","L","W","L","L","W","W","D","D","D","W","L","W","W","L","W","W","D","L","W"
2017,"San Jose Earthquakes",34,"W","W","L","L","D","D","D","L","W","W","L","D","W","L","L","D","W","W","L","L","L","W","W","L","D","L","W","L","W","L","L","W","D","W"
2017,"Seattle Sounders FC",34,"L","D","W","D","D","L","W","D","L","L","L","W","W","L","W","L","D","D","W","W","W","D","W","W","W","D","D","D","D","L","W","L","W","W"
2017,"Sporting Kansas City",34,"D","D","W","D","W","W","L","W","W","L","D","W","L","L","W","D","D","W","D","D","D","W","D","L","W","L","D","W","W","L","D","L","D","L"
2017,"Toronto FC",34,"D","D","W","D","D","L","W","W","W","W","W","W","D","W","L","W","W","L","W","D","D","W","D","W","W","W","W","W","W","L","L","W","W","D"
2017,"Vancouver Whitecaps FC",34,"D","L","L","W","L","W","L","W","W","L","W","L","W","D","D","L","W","W","L","W","D","L","W","D","W","W","W","D","W","L","W","L","D","L"
2018,"Atlanta United FC",34,"L","W","W","W","W","D","W","W","W","L","W","L","D","W","D","W","D","W","L","W","D","W","W","D","W","W","L","W","W","W","L","W","W","L"
2018,"Chicago Fire",34,"L","L","D","W","L","W","D","L","W","L","L","W","L","W","D","D","D","W","L","L","L","L","L","L","L","L","D","W","D","L","W","L","L","D"
2018,"Colorado Rapids",34,"L","D","W","D","W","L","L","L","L","L","L","L","L","D","W","W","L","L","D","D","L","W","W","D","L","L","L","L","L","L","L","W","D","W"
2018,"Columbus Crew SC",34,"W","W","D","W","L","L","L","D","W","D","W","W","W","D","D","D","L","L","W","L","L","W","W","W","L","D","W","D","L","W","D","L","L","W"
2018,"D.C. United",34,"D","L","D","L","L","W","L","L","W","D","L","D","L","D","W","L","L","W","D","W","W","W","L","L","W","D","W","D","W","W","W","W","W","D"
2018,"FC Dallas",34,"D","W","D","D","W","W","L","D","W","D","W","W","W","W","L","W","W","L","W","D","W","L","L","W","D","L","W","D","W","D","W","L","L","L"
2018,"Houston Dynamo",34,"W","L","D","L","D","W","L","W","D","W","W","L","L","W","L","D","W","D","D","L","L","L","L","L","D","L","L","W","D","W","L","L","L","W"
2018,"LA Galaxy",34,"W","L","D","W","L","W","L","L","L","L","W","W","L","D","W","D","D","W","W","W","D","W","L","D","D","L","D","L","L","W","W","D","W","L"
2018,"Los Angeles FC",34,"W","W","L","L","W","W","W","D","W","D","L","D","L","W","W","W","D","W","D","L","D","L","L","W","W","D","W","D","W","L","W","W","D","L"
2018,"Minnesota United FC",34,"L","W","W","L","L","L","L","W","W","L","L","D","W","L","L","L","W","L","W","W","W","L","L","D","L","L","L","D","W","W","L","L","L","L"
2018,"Montreal Impact",34,"L","L","W","W","L","L","L","L","W","L","L","L","L","W","L","W","W","W","W","L","W","D","L","D","D","W","L","W","W","D","L","W","W","L"
2018,"New England Revolution",34,"L","W","D","W","W","L","D","W","L","W","L","D","D","W","D","D","W","D","L","L","L","D","L","L","L","D","W","D","D","L","L","W","L","W"
2018,"New York City FC",34,"W","W","W","D","W","W","D","L","W","L","D","W","L","W","D","W","L","W","W","W","W","L","D","W","L","D","L","L","D","D","W","L","L","W"
2018,"New York Red Bulls",34,"W","L","W","L","W","L","W","W","W","W","D","L","D","W","W","W","L","W","W","W","L","W","W","D","D","W","W","L","D","W","W","W","W","W"
2018,"Orlando City SC",34,"D","L","L","W","W","W","W","W","W","L","L","L","L","L","L","L","L","L","W","L","L","L","D","L","L","D","L","L","D","L","L","L","W","L"
2018,"Philadelphia Union",34,"W","D","L","D","L","L","W","L","L","W","W","D","W","L","L","W","L","L","W","L","W","L","W","W","W","W","D","L","W","W","D","W","L","L"
