"season","team","matches","match1","match2","match3","match4","match5","match6","match7","match8","match9","match10","match11","match12","match13","match14","match15","match16","match17","match18","match19","match20","match21","match22","match23","match24","match25","match26","match27","match28","match29","match30","match31","match32","match33","match34","match35","match36","match37","match38"
"2016/17","Real Betis",38,"L","D","W","D","L","W","L","L","W","L","L","W","L","D","W","L","W","L","D","D","D","D","L","L","W","L","L","W","L","L","L","W","W","L","L","L","D","D"
"2016/17","Real Madrid",38,"W","W","W","W","D","D","D","W","W","W","W","W","W","D","W","L","W","L","W","W","W","W","W","W","D","W","W","W","W","W","D","W","L","W","W","W","W","W"
"2016/17","Real Sociedad",38,"L","W","D","L","W","L","W","L","W","W","W","W","D","L","W","W","L","W","W","L","W","W","L","W","D","W","L","L","D","L","W","L","W","W","W","D","D","D"
"2016/17","Sevilla",38,"W","D","W","D","W","L","W","W","W","D","L","W","W","L","W","W","W","W","W","L","D","W","W","W","W","D","D","L","D","L","W","D","W","W","L","D","L","W"
"2016/17","Sporting Gijon",38,"W","D","W","L","L","L","L","L","D","D","L","L","L","W","L","L","L","L","D","L","L","W","L","D","L","L","D","W","D","L","L","L","D","D","L","W","W","D"
"2016/17","Valencia",38,"L","L","L","L","W","W","L","W","L","D","L","D","L","D","L","W","D","W","W","L","L","D","W","L","W","L","D","L","W","W","W","D","L","L","L","W","W","L"
"2016/17","Villarreal",38,"D","D","W","W","D","W","D","W","W","L","W","L","L","D","W","W","D","D","L","W","D","D","W","L","W","W","W","L","L","W","W","L","W","W","W","L","D","W"
"2017/18","Alaves",38,"L","L","L","L","L","L","W","L","L","L","W","L","L","W","W","L","W","L","W","D","L","W","W","W","L","W","L","L","L","D","W","W","L","W","L","W","W","L"
"2017/18","Athletic Bilbao",38,"D","W","W","L","L","D","L","W","L","L","L","D","D","D","W","D","W","W","D","D","D","L","D","L","W","D","L","W","L","D","W","L","D","L","L","W","L","L"
"2017/18","Atletico Madrid",38,"D","W","D","W","W","W","D","D","W","D","W","D","W","W","W","W","L","W","W","D","W","W","W","W","W","W","L","W","L","W","D","W","L","D","W","L","W","D"
"2017/18","Barcelona",38,"W","W","W","W","W","W","W","D","W","W","W","W","D","D","W","W","W","W","W","W","W","D","D","W","W","D","W","W","W","D","W","W","D","W","W","D","L","W"
"2017/18","Celta Vigo",38,"L","L","W","L","D","W","D","W","L","L","W","L","W","D","L","L","W","D","W","W","W","L","D","L","W","L","W","L","D","D","W","L","D","D","L","D","L","W"
"2017/18","Deportivo La Coruna",38,"L","D","L","L","W","L","W","D","L","W","L","L","D","L","W","L","L","D","L","L","D","L","L","L","D","L","D","L","D","L","W","W","D","D","L","D","L","L"
"2017/18","Eibar",38,"W","L","L","W","L","L","L","D","L","D","L","W","W","W","D","W","W","W","L","D","D","W","W","L","L","W","D","L","L","D","L","L","W","L","D","W","W","D"
"2017/18","Espanyol",38,"D","L","L","W","D","W","L","D","D","W","L","L","W","L","L","D","W","W","D","L","L","D","D","D","D","W","D","W","L","D","L","L","L","W","D","W","W","W"
"2017/18","Getafe",38,"D","L","W","L","D","W","L","L","D","W","D","W","L","W","D","L","W","L","W","D","D","D","D","W","L","W","L","L","W","L","L","W","W","W","D","W","L","W"
"2017/18","Girona",38,"D","W","L","L","D","L","D","L","W","W","W","D","D","L","W","W","L","L","W","D","D","W","L","W","L","W","W","W","L","D","L","L","W","L","D","L","L","W"
"2017/18","Las Palmas",38,"L","L","W","W","L","L","L","L","L","L","L","L","D","W","L","D","L","L","L","W","L","W","D","L","D","D","L","L","D","L","L","L","L","L","D","L","L","L"
"2017/18","Leganes",38,"W","W","L","L","D","W","D","W","W","L","L","L","L","W","L","L","D","W","L","D","W","D","L","L","D","L","W","L","W","L","L","W","L","D","L","L","L","W"
"2017/18","Levante",38,"W","D","D","D","W","L","L","D","D","D","L","W","L","D","L","D","D","L","L","L","D","D","L","L","L","L","D","W","W","D","W","L","W","W","W","W","W","L"
"2017/18","Malaga",38,"L","L","L","L","L","D","L","L","L","W","L","W","L","D","W","L","L","L","L","D","D","L","L","L","L","L","L","L","D","W","L","L","L","W","L","L","L","L"
"2017/18","Real Betis",38,"L","W","L","W","W","W","D","L","W","L","D","L","D","L","L","W","L","W","W","L","L","W","W","L","W","D","L","W","W","W","W","W","W","D","W","L","D","L"
"2017/18","Real Madrid",38,"W","D","D","W","L","W","W","W","W","L","W","D","W","D","W","W","L","D","L","W","W","D","W","W","W","L","W","W","W","W","D","W","D","L","W","D","W","D"
"2017/18","Real Sociedad",38,"W","W","W","L","L","L","D","W","D","L","W","D","D","L","L","D","W","L","L","L","L","W","L","W","L","D","W","L","L","D","W","W","W","L","W","L","W","L"
"2017/18","Sevilla",38,"D","W","W","W","W","L","W","L","L","W","L","W","W","W","L","D","L","L","L","W","D","L","W","W","L","W","W","L","L","D","L","D","D","W","L","W","D","W"
